enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement.,Yes,Crop damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Good health.,Are not enough to villagers.,Good health.,No
Samuel Muga,Kogola East,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water infiltrate into the pit causing structural weaknesses ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of waterborne diseases like cholera ,Yes,Crops were damaged due to stagnant rain water ,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation training done by our CHVs ,"Kiosk is quite far from my house, making it difficult to fetch water. Frequent breakdowns of my pit latrine. ",Hygiene and sanitation training made us concentrate on our wellbeing ,No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks due to the bad clay soil,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Education on environmental clealiness,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Flood preparedness awareness Improved sanitation facilities,1,1,1,1,0,0,,Improved sanitation  facilities,Blocked canals leading to floods,Improved hygiene education skills,No
Judith Onyango,Borda,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,No,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Communicable reduce eg cholera.,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Yes because during flood he  can go to the toilet  without fear also he used clean water  and diseases are reduced.,Flood still affected .,His life has change becaus during flood they moved from there home to the centre but know it is different no moving but flood still and did not get into her house.,No
Samuel Muga,Kogola East,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It breaks down during heavy rainfall ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of waterborne diseases ,Yes,My home is quite raised so am not prone to floods ,Use early warnings ,,Not sure,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks),1,1,1,0,0,0,,Hygiene and sanitation training ,Kiosk distance is still a challenge for me considering my age and wife ,Access to clean and safe water ,No
Tom Akumu,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during heavy rainfall ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Improved hygiene ,Yes,Part of my home was flooded ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks),1,0,0,0,0,0,,Accessing clean water closer,Floods in some parts ,Drinking clean water ,No
Mollet Atieno,Kokech,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water that has been provided,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Clean water that has reduced cholera cases,Can't be provided when the solar isn't thare,Can all access clean water,No
Janet Wesonga,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Water born deseases reduced.,Yes,"Crop damage,",Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Access of clean water.,"We need more, latrines, kiosk and canals.",Hygiene improvement.,No
Samuel Muga,Kogola East,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of waterborne diseases ,Not Sure,,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water ,The distance is quite far from where I stay. ,"Having clean and safe water is a major one, no more waterborne disease infections ",No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,18-35 years (Youth),Trade,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during rainy seasons ,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,1,0,0,,Yes,Improved hygiene skills and sanitation ,No,,Use early warnings ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness Access to clean water points (Kiosks),1,1,1,1,0,0,,Improved hygiene skills practices ,Lack of enough water kioks and the distance is a bit far,Improved hygiene skills ,No
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during heavy rainfall,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,0,1,0,,Yes,Using soaps in hand washing,Yes,Floods invade our homes during heavy rainfall,Store water/food ,,No,,Yes,Improved sanitation facilities Hygiene education / training,0,1,1,0,0,0,,Hygiene education,Floods in my home stead,Improved hygiene,No
Tom Ocharo,Kokech,Female,Yes,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,Yes,50,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water Ash and water Water only,1,1,0,0,1,1,1,1,1,0,,Yes,Hygiene training ,Yes,Desilting of canals made water flow easy ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved hygiene ,"Less water, perpetual education, more pit Latrine and frequent desilting of canals ",Improved sanitation ,No
Judith Onyango,Borda,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,No,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Communicable reduce .,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Accessibility of clean water and  a good toilet ., Flood still affects.,Accessibility of clean  and  reducing of communicable diseases .,No
Andericus Oguma,Kagola West,Male ,,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,No,,Yes,Crop lose,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks),1,0,0,0,0,0,,Reach water easily,Flood still destroyed crops,Access to water easily,No
Mollet Atieno,Kokech,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We have clean water that wasn't there before,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Has reduced cholera cases,When you only pay for water is when you can use it,Reduction of diarheal diseases,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Protected public wells ,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We have installed hand washing facility at home. Our compound is also being cleaned properly to keep away mosquitoes ,Yes,"Heavy rains results to a stagnant water on my farms , this destroy my crops ",Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water ,The distance to the kiosk is still a challenge moreso to my school going children ,Better hygiene and sanitation training done by our CHVs ,No
Janet Wesonga,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow during heavy rain.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Reduction of water born deseases.,Yes,Crop and properties damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene improvement.,They are not enough.,Access of clean water.,No
Mollet Atieno,Kokech,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It collapses when it rains heavily,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Can access water quickly,Yes,Soil erosion has reduced,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Can access clean water very fast,No challenges in water,Reduction of stomach illneses,No
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during rainy reasons ,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,1,0,0,,Yes,We can now have knowledge on how to treat water ,Yes,My toilet has been sunk by floods ,Use early warnings ,,Not sure,,Not sure/Don't know ,,,,,,,,,Treatment of water ,Flooding around my home stead ,Knowledge of water treatment ,Not Sure
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Trade,,"20,001 and Above",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during floods ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene skills ,Not Sure,,Store water/food ,,Not sure,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,Improved sanitation facilities ,Blocked canals hence lack of flood control,Education on hygiene ,No
Judith Onyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It reduces diseases like cholera.,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities Flood preparedness awareness,1,1,1,1,0,0,,Access clean water and it easy to go to the toilet during the flood because it is safe ,Flood still affects someone area ,"  Their life has change because of clean water , toilet and they improve  hygiene.
",No
Janet Wesonga,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Good health,Yes,Crop and properties damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Good health.,Are not enough.,Access to clean water.,No
Wycliffe Osalo,Kagola West,Female,No,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Heavy rains gets into the pit and raises waste level to the ground. ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"We have in place a hand washing facility, we clear our compound regularly ",Yes,Too much stagnant rain water has destroyed my crops in the farm ,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Better hygiene and sanitation training done by our CHVs ,"Kiosk distance is still a challenge, we love our project but the distance is the problem and making it difficult from accessing this sweet water ",General hygiene standards have been improved in my household ,No
Andericus Oguma,Kaswa,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,We wash our hands every time ,Yes,Destroyed crops ,Other,Don't have any preparation ,Yes,,Yes,Improved sanitation facilities Hygiene education / training,0,1,1,0,0,0,,Have raised toilet,Canals to dig more to reduce flood ,Benefitted latrine from HFHK,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,They is no water born diseases ,Yes,It's affected crops on the farm ,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,Flood preparation awareness ,More canals are required ,No water born diseases ,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It's improved on hygiene skills ,Yes,It's affected crops on the farm ,Store water/food ,,Yes,,Yes,"Hygiene education / training Flood preparedness awareness Improved sanitation facilities Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Flood preparation awareness ,More canals are required ,No water born disease ,No
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved hygiene skills ,Yes,It's affected crops on the farm ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,0,1,1,1,0,,Flood preparation awareness ,More canals are required ,No water born diseases within the area ,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,No water born disease ,Yes,It's affected crops on the farm ,Store water/food ,,Yes,,Yes,Hygiene education / training Flood preparedness awareness Improved sanitation facilities Access to clean water points (Kiosks),1,1,1,1,0,0,,It's improved sanitation facilities ,More canals are required ,No water born diseases within the area ,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,No water born diseases,Yes,It's affected crops on the farm ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities ,More canals are required ,No water born diseases within the area ,No
Andericus Oguma,Kaswa,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Toilet sinks every time flood comes,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,We practice washing hand every time ,Yes,Destroyed crops ,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,We reduce diseases like diarrhea ,We need more canals to reduce flood ,Hygiene practice helps reduce diseases ,No
Janet Wesonga,Kabong'o,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Good health.,Yes,Crop damage.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Flood preparedness awareness Improved sanitation facilities,1,1,0,1,0,0,,Clean water.,Are not enough.,Access to clean water.,No
Wycliffe Osalo,Kagola West,Male ,,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,The issue is that excess rain water weakens the physical structure causing its breakdown ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Minimised the spread of germs that causes disease because I installed a hand washing facility here at home ,Yes,The flood gets into my farms and water becomes stagnant for along period of time. This definitely damages the crops ,Store water/food ,,Not sure,,Yes,Improved sanitation facilities Flood preparedness awareness Hygiene education / training Access to clean water points (Kiosks),1,1,1,1,0,0,,"Hygiene and sanitation training done by our CHVs, Access to clean water too. ","The kiosk distance still remains a challenge, hand washing containers may break down and the silt from the canals are brought back during floods. ",Less or reduced cases of waterborne diseases like cholera and typhoid ,No
Tom Akumu,Kabong'o,Female,No,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Hygiene education has help us to treat water,No,,Store water/food ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training,0,1,1,0,0,0,,Hygiene education and training ,We need more water kiosk,Improved hygiene ,No
Tom Ocharo,Kokech,Female,No,No,,18-35 years (Youth),Trade,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene training ,Yes,Because of desilting canals ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Hygiene education / training,1,1,1,1,0,0,,Improved sanitation ,"Fewer water kiosk, more training is required and frequent desilting ",Good drainages which have reduce floods ,No
Mollet Atieno,Kokech,Female,Yes,No,,36-59 years (Adult),"Other, Specify",Self employed,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Water is accessed so fast,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene education has reduced stomach problems,U are allowed to use it only when you pay for it,Clean water access,No
Janet Wesonga,Kabong'o,Female,No,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene improvement,Yes,Crop and properties damage.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness,1,1,0,1,0,0,,Access to clean water.,"Less latrines, kiosk.",Good health.,No
Wycliffe Osalo,Kagola West,Female,No,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Trainings from CHV have Made me improve on my wellbeing ,Yes,Flood destroy my crops because water becomes stagnant in my farm ,Store water/food ,,No,,Yes,Improved sanitation facilities,0,1,0,0,0,0,,Improved sanitation facilities ,"Kiosk distance is a challenge that should be looked at, flooding is still a menace because the size of canals cannot contain that excess water ","Being built a new flood resilient latrine. Hygiene is now improved, less cholera cases ",No
Mollet Atieno,Kokech,Female,No,Yes,Yes,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,With difficulty ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Collapses when there is heavy rains,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Easy access of water and clean ready to use,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Reduced diarheal illness,Allowed to use water only after paying,Reduced diarheal illnesses,No
Tom Akumu,Kabong'o,Male ,,No,,60+ years (Elderly),"Other, Specify",Support from the family ,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,0,0,,Yes,Washing my hands with soap before and after eating ,Not Sure,,Store water/food ,,Yes,,Yes,Improved sanitation facilities Flood preparedness awareness,0,1,0,1,0,0,,Flood preparedness ,More canals are required ,No water borne deseases ,No
Janet Wesonga,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse during flood.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene improvement.,Yes,Crop and properties damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Improved sanitation facilities Hygiene education / training",1,1,1,1,1,0,,Access to clean water.,Are not enough.,Good health.,No
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Trade,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Improved hygiene skills ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Hygiene education ,Lack of enough water kioks ,Improved hygiene skills ,No
Andericus Oguma,Kaswa,Female,No,Yes,Yes,60+ years (Elderly),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,1,0,,Yes,We don't get diseases like waterborne ,Yes,It destroyed crops ,Store water/food ,,Yes,,Yes,Flood preparedness awareness Hygiene education / training Improved sanitation facilities,0,1,1,1,0,0,,Have good health ,We still need more canals ,Get raised toilet ,No
Tom Ocharo,Kokech,Male ,,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,50,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved,Yes,Good drainages enable water to flow henceforth no floods,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene training,"Extending water pipe from water point to my home, hygiene education and desilting of canals",Improved hygiene,No
