enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Judith Onyango,Borda,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,>1 hour,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Yes because sometimes you wait someone to fetch water and you end up coming back home without water and you take a lot of time.but know water is available anytime and spent less time ,,Water Committee,Water Committee,Water Committee,No,Not sure,No,,,,,, Rarely ,Because it can collapse.,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Children Youth Adult women,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,"Yes reduced the communicable diseases.
",,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers  Water committee roles ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Digging of canals around the house.,Yes,Government official SMS/radio Village Head,0,1,1,1,0,Much better protected,,403.65
Andericus Oguma,Kaswa,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Never,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Income generating activities  Rest/Leisure ,1,1,0,0,1,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Water unavailable every time,,Water Committee,Water Committee,Water Committee,Don’t know,No,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food Before eating food,0,0,0,1,1,,Often,Often,Often,Often,Often,Yes,Youth Adult men Adult women,1,1,0,1,0,,"Wash hands with soap before eating or preparing food Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Reduce diseases,,No,,Yes,,,No,Much safer,Dug or cleared drainage/canals Planted trees along canals Stored food/water in advance,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Don't know ,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Dig canals along our farms,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,12.5
Tom Akumu,Kabong'o,Female,Yes,No,,60+ years (Elderly),"Other, Specify",Get assistance from my children ,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  School attendance (especially girls) ,1,0,1,0,0,0,,Yes,Farming/fishing yields  Small businesses  Livestock ,1,1,0,0,0,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Sufficient supply of water ,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment,1,1,1,0,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Less reduction stomach pain,,No,,Yes,,,No,Much safer,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Plant more trees to reduce soil erosion ,Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Much better protected,,296.29
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Rest/Leisure ,1,0,0,0,1,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,No flooding within the area,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After handling child/adult feces or cleaning child's bottom After cleaning the environment,0,1,1,0,0,,Often,Often,Often,Often,Often,Yes,Adult men,0,1,0,0,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean",1,0,0,1,0,0,1,0,0,0,,Not sure,,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse,0,1,0,1,0,,Making drainage and raised household belongings,Yes,SMS/radio Canal Committee,1,0,0,1,0,Much better protected,,647.15
Andericus Oguma,Kagola West,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Never,30–60 min ,30–60 min ,Same,,,,,,,,Not Sure,,,,,,,,,Yes, Health  Livestock ,0,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Water is available ,,Water Committee,Water Committee,Water Committee,Don’t know,Not sure,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food Before eating food,0,0,0,1,1,,Often,Often,Often,Often,Often,Yes,Youth Adult men,0,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Reduce rate of going to the hospital regularly ,,No,,Yes,,,No,Much safer,Planted trees along canals Dug or cleared drainage/canals Stored food/water in advance,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Dig more canals to reduce flood ,Yes,SMS/radio,0,0,0,1,0,Much better protected,,254.97
Mollet Atieno,Kokech,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Rarely,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Unity among the community members have improved,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Reduced cases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,978.15
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Never,<30 min ,<30 min,Same,,,,,,,,Yes,"Others, specify",0,0,0,0,0,1,"Am not using this water, so everything remains constant ",No,Other,0,0,0,0,0,0,1,No income changes because I don't use this project water... The distance is the biggest problem ,No change ,Yes,,No,,Yes,Yes,"For those who fetch it, they say no long queues as compared to home owned open wells ",,Water Committee,Water Committee,Water Committee,Yes,Only with partial support,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Wash hands with soap before eating or preparing food Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,Reduction in the spread of germs that causes diseases ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Hygiene trainers  Maintenance jobs ,1,1,1,0,0,Somewhat usefu,Somewhat,Not sure,,No, Somewhat ,Somewhat effective,No change,Damaged,No change,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse,0,1,0,1,0,,"Dig small canals around the home to enable water flow , raise household items above the ground ",Not sure,,,,,,,Somewhat better protected,,746.67
Tom Ocharo,Kokech,Male ,,Yes,Yes,36-59 years (Adult),Farming,,"20,001 and Above",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,No,,,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before eating food Before preparing food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,1,1,1,0,1,0,1,0,,Yes,Improved sanitation,,No,,Yes,,,No,No change ,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,Village Head Government official SMS/radio,0,1,1,1,0,Much better protected,,457.66
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,>100 litres,Never,<30 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  Childcare  Rest/Leisure  Household chores  School attendance (especially girls) ,1,1,1,1,1,0,,Yes,Education   Health ,0,0,0,1,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Don't know ,Yes,Young women are nolonger fighting over water,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food,1,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap before eating or preparing food Wash hands with soap after defecation Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat",1,1,1,1,1,1,0,0,0,0,,Yes,Improved hygiene skills ,,No,,Yes,,,No,Much safer,Dug or cleared drainage/canals Stored food/water in advance,1,0,0,1,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,No effect,,,No,,,,,,,,,No,,,,,,,Much better protected,,444.69
Janet Wesonga,Kabong'o,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,>100 litres,Daily,>1 hour,30–60 min ,Less,Shorter queues,0,1,0,0,0,,Yes,Income generating activities  Childcare  Household chores ,1,1,0,1,0,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queue.,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before eating food,1,1,1,0,1,,Often,Often,Sometimes ,Often,Often,Yes,Youth,0,0,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,1,1,1,1,0,,Yes,Good health.,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Store enough food.,Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,1065.94
Judith Onyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Daily,>1 hour,<30 min,Less,Closer water source Reduced cost,1,0,1,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,In past they used dirty water but know they used clean water and flood reduce in our area ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,, Rarely ,Because during flood the toilet are full of water and insect come up the floor ,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food,1,1,1,1,0,,Often,Often,Often,Often,Often,Yes,Children Youth Adult women,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Practice safe disposal of child feces Constructed or use a handwashing station (e.g., tippy tap)",1,1,1,1,1,1,1,1,1,0,,Yes,Diseases such as cholera reduce ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Moving to a high places ,Yes,Village Head Government official SMS/radio,0,1,1,1,0,Somewhat better protected,,456.23
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,Yes,Rest/Leisure  Income generating activities ,1,0,0,0,1,0,,Yes,Small businesses  Farming/fishing yields ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,No flooding ,,Water Committee,Water Committee,Water Committee,Yes,Only with partial support,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food After cleaning the environment Before eating food,0,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult men,0,1,0,0,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",1,0,0,1,0,0,1,1,0,0,,Yes,No water borne diseases within the area .,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse Property damage,1,1,0,1,0,,Make drainage on the homestead and raised household belongings ,Yes,Canal Committee SMS/radio,1,0,0,1,0,Much better protected,,420.76
Tom Akumu,Kabong'o,Female,No,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  School attendance (especially girls) ,1,0,1,0,0,0,,Yes,Farming/fishing yields  Livestock ,1,0,0,0,0,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Less queueing ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation Before eating food,1,0,0,0,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Reduction of stomach upset ,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,No,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Somewhat effective,Yes,Better flood control ,Less erosion ,Fewer workdays lost ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Dig more canals ,Yes,Canal Committee SMS/radio,1,0,0,1,0,Much better protected,,204.9
Mollet Atieno,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  Household chores  School attendance (especially girls)  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Centrally placed has made all people access it,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Zero cases of cholera reported,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Better drainage ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,762.48
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Casual Labour,,"10,001 - 20,000",Yes,>100 litres,Never,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Other,0,0,0,0,0,0,1,"I don't normally use this project water, so it has no serious impact. Reasons being it's far away from my home",No change ,Yes,,No,,Yes,Yes,Yes am told no quarrel at the kiosk site,,Water Committee,Water Committee,Water Committee,Yes,Only with partial support,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,Reduction cases of stomach problems and water related diseases,,No,,Yes,,,No,No change ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Hygiene trainers  Water committee roles  Maintenance jobs ,1,1,1,0,0,Somewhat usefu,Somewhat,Not sure,,No, Somewhat ,Somewhat effective,No,Damaged,No change,No effect,,,Yes,Crop loss Latrine collapse Property damage,1,1,0,1,0,,"Put all the food items above the ground, also evacuate family members and valuables to a safer place",Not sure,,,,,,,Somewhat better protected,,834.65
Andericus Oguma,Kagola West,Female,No,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,51–100 litres ,Never,30–60 min ,30–60 min ,Same,,,,,,,,Yes,Childcare  Rest/Leisure  Income generating activities ,1,1,0,0,1,0,,Yes,Small businesses  Farming/fishing yields   Health ,1,1,0,0,1,0,0,,No change ,Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Because many people take water from the water kiosk,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food Before eating food,0,0,0,1,1,,Often,Often,Often,Often,Often,Yes,Youth Children Adult women,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Store water safely in clean, covered containers Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,1,0,0,0,0,0,,Yes,Reduced rate of going to the hospital ,,No,,Yes,,,No,Much safer,Dug or cleared drainage/canals Planted trees along canals Stored food/water in advance,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Dig canals around our farms ,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,295.92
